PID,Name,User,CPU Time,Memory [GB],Status
2333,gsd-disk-utility-notify,alejo,0.02,0.01,sleeping
2337,ibus-portal,alejo,1.01,0.01,sleeping
2384,gjs,alejo,0.11,0.03,sleeping
2437,gsd-printer,alejo,0.03,0.02,sleeping
2472,ibus-engine-simple,alejo,2.16,0.01,sleeping
2499,abrt-dbus,root,0.27,0.01,sleeping
2530,xdg-desktop-portal,alejo,1.72,0.01,sleeping
2546,xdg-document-portal,alejo,1.09,0.01,sleeping
2562,fusermount3,alejo,0.0,0.0,sleeping
2566,xdg-desktop-portal-gnome,alejo,2.44,0.04,sleeping
2588,xdg-desktop-portal-gtk,alejo,1.12,0.03,sleeping
2802,gvfsd-trash,alejo,0.58,0.01,sleeping
2824,tracker-miner-fs-3,alejo,33.51,0.03,sleeping
2878,gvfsd-recent,alejo,1.13,0.01,sleeping
3125,tls-strp,root,0.0,0.0,idle
3268,python3,alejo,2.8,0.19,sleeping
3284,gvfsd-http,alejo,0.0,0.01,sleeping
3647,gvfsd-network,alejo,0.06,0.01,sleeping
3682,gvfsd-dnssd,alejo,0.1,0.01,sleeping
4255,cgroupify,alejo,0.49,0.0,sleeping
7664,evince,alejo,12.49,0.06,sleeping
7671,evinced,alejo,0.01,0.01,sleeping
8015,evince,alejo,62.1,0.15,sleeping
8493,firefox,alejo,482.53,0.49,sleeping
8512,cgroupify,alejo,0.53,0.0,sleeping
8617,Socket Process,alejo,0.11,0.05,sleeping
8650,Privileged Cont,alejo,8.55,0.14,sleeping
8706,WebExtensions,alejo,342.14,0.45,sleeping
8762,Isolated Web Co,alejo,56.46,0.17,sleeping
8785,Isolated Web Co,alejo,16.08,0.15,sleeping
10003,irq/147-mei_me,root,0.0,0.0,sleeping
10049,sssd_kcm,root,4.6,0.03,sleeping
10690,Xwayland,alejo,193.27,0.13,sleeping
10709,gsd-xsettings,alejo,0.63,0.06,sleeping
10730,ibus-x11,alejo,3.32,0.03,sleeping
12056,evince,alejo,14.23,0.08,sleeping
12836,kworker/u16:5-btrfs-endio-meta,root,0.0,0.0,idle
15093,RDD Process,alejo,0.12,0.05,sleeping
15094,Utility Process,alejo,0.31,0.05,sleeping
17892,code,alejo,168.69,0.18,sleeping
17894,code,alejo,0.01,0.05,sleeping
17895,code,alejo,0.01,0.05,sleeping
17908,chrome_crashpad_handler,alejo,0.0,0.0,sleeping
17934,code,alejo,0.78,0.07,sleeping
17935,code,alejo,791.51,0.22,sleeping
17961,code,alejo,1659.84,0.4,sleeping
18052,code,alejo,34.64,0.1,sleeping
18053,code,alejo,23.45,0.1,sleeping
18054,code,alejo,71.29,0.19,sleeping
18097,code,alejo,8.0,0.09,sleeping
18265,code,alejo,2.68,0.1,sleeping
18434,kworker/u16:1-btrfs-delalloc,root,0.0,0.0,idle
18477,python,alejo,16606.68,4.77,sleeping
18552,code,alejo,93.42,0.16,sleeping
18760,bash,alejo,0.1,0.01,sleeping
19215,kworker/u16:4-flush-btrfs-1,root,0.0,0.0,idle
21388,kworker/u16:6-btrfs-endio-meta,root,0.0,0.0,idle
21615,nautilus,alejo,7.5,0.16,sleeping
21988,kworker/5:2-events,root,0.0,0.0,idle
22214,kworker/u16:9-flush-btrfs-1,root,0.0,0.0,idle
22215,kworker/u16:11-btrfs-delalloc,root,0.0,0.0,idle
22216,kworker/7:2-mm_percpu_wq,root,0.0,0.0,idle
22571,code,alejo,925.37,0.37,sleeping
22596,code,alejo,60.58,0.2,sleeping
22606,code,alejo,61.63,0.13,sleeping
22700,code,alejo,6.86,0.13,sleeping
22783,bash,alejo,0.25,0.01,sleeping
22978,kworker/u16:12-btrfs-delalloc,root,0.0,0.0,idle
23807,bash,alejo,0.09,0.01,sleeping
24897,kworker/2:2-events,root,0.0,0.0,idle
24917,kworker/u16:0-btrfs-delalloc,root,0.0,0.0,idle
25474,kworker/3:0-events,root,0.0,0.0,idle
25624,kworker/0:0-events,root,0.0,0.0,idle
25642,Isolated Web Co,alejo,5.2,0.17,sleeping
26118,kworker/3:1-events,root,0.0,0.0,idle
26208,kworker/1:0-events,root,0.0,0.0,idle
26250,kworker/4:2-events,root,0.0,0.0,idle
26382,kworker/6:1-events,root,0.0,0.0,idle
26390,kworker/2:0-events,root,0.0,0.0,idle
26630,kworker/u17:2-btrfs-worker-high,root,0.0,0.0,idle
27095,kworker/1:2-events,root,0.0,0.0,idle
